type,words,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp,a_l2_req,a_l2_hit,a_l1_req,a_l1_hit,b_l2_req,b_l2_hit,b_l1_req,b_l1_hit,c_l2_req,c_l2_hit
L2blk,32,1,5,2.75906,0.00893,4.52358,0.00453,24290,42744,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,7,2.6368,0.00294,4.52626,0.00462,24301,42751,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,9,2.7921,0.00885,4.52339,0.00297,24288,42761,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,11,2.94876,0.00589,4.52609,0.0059,24301,42782,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,13,3.1185,0.00811,4.53141,0.0148,24321,42891,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,15,3.28676,0.00588,4.53007,0.01452,24320,42895,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,17,3.44504,0.00728,4.52899,0.01357,24337,42913,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,19,3.60584,0.00705,4.53153,0.0201,24354,42927,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L1blk,16,1,1,3.36799,0.00804,4.39689,0.00465,13949,27365,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,3,3.68923,0.00374,4.40762,0.0257,14998,27331,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,5,3.8461,0.0056,4.40383,0.01049,15025,27356,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,7,4.08578,0.00617,4.39861,0.00373,14945,27385,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,9,4.41359,0.00469,4.40541,0.02137,14917,27402,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,11,4.719,0.00723,4.40981,0.02183,15012,27482,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,13,5.05546,0.00647,4.40669,0.01137,15042,27619,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,15,5.352,0.00486,4.40655,0.01279,15027,27607,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,17,5.66505,0.00604,4.40439,0.0107,14998,27589,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,1,19,6.04842,0.00625,4.40258,0.0127,15014,27619,8,3,524288,0,134217728,133693440,8192,0,134217728,134209536,16777216,16252928
L1blk,16,2,3,2.38923,0.0058,4.42892,0.02367,15677,29075,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,5,2.473,0.00709,4.42038,0.00747,15725,29105,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,7,2.58194,0.00673,4.41086,0.00401,15843,29220,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,9,2.74629,0.00875,4.41683,0.0064,15830,29252,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,11,2.89521,0.00661,4.41366,0.00336,15839,29271,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,13,3.07626,0.00456,4.4199,0.00402,15696,29470,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,15,3.22249,0.00406,4.41459,0.00732,15585,29482,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,17,3.38061,0.00572,4.42591,0.02136,16212,29510,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
L1blk,16,2,19,3.52947,0.00709,4.41535,0.00223,16259,29538,9,6,524288,0,134217728,133693440,8192,0,67108864,67100672,16777216,16252928
